ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
6604,Starbucks Coffee  #751,6304,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor
6605,Starbucks Coffee  #754,1717,Cochran Rd / Va Manor,Pittsburgh,PA,15220,Mt Lebanon,Chain Restaurant without Liquor
6606,Starbucks Coffee  #756,210,6th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6607,Starbucks Coffee  #762,425,Beaver St,Sewickley,PA,15143,Sewickley,Chain Restaurant without Liquor
6608,Starbucks Coffee  #776,4885,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6609,Starbucks Coffee  #778,730,Copeland St,Pittsburgh,PA,15232,Pittsburgh-107,Chain Restaurant without Liquor
6610,Starbucks Coffee #10052,227,Summit Park Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant without Liquor
6611,Starbucks Coffee #10521,5932,Centre Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Chain Restaurant without Liquor
6612,Starbucks Coffee #11147,2015,Pittsburgh Mills Blvd,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor
6613,Starbucks Coffee #22032,3007,Washington Pike,Bridgeville,PA,15017,South Fayette,Chain Restaurant without Liquor
6614,Starbucks Coffee #23828,301,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Restaurant without Liquor
6615,Starbucks Coffee #27117 Amos Hall,4022,5th  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
6616,Starbucks Coffee #2900,417,S Craig St,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
6617,Starbucks Coffee #3467,600,Grant Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6618,Starbucks Coffee #7284,3460,Wm Penn Hwy,Pittsburgh,PA,15235,Wilkins,Chain Restaurant without Liquor
6619,Starbucks Coffee #760,5110 A,Library Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
6620,Starbucks Coffee #7625,5310,Liberty Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Chain Restaurant without Liquor
6621,Starbucks Coffee #7641,1050,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor
6622,Starbucks Coffee #7660,825,Beaver Grade Rd,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
6623,Starbucks Coffee #7661,2345,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor
6624,Starbucks Coffee #7708,270,West Bridge St,Homestead,PA,15120,Homestead,Chain Restaurant without Liquor
6625,Starbucks Coffee #7732,100,VIP Dr,Wexford,PA,15090,Marshall,Chain Restaurant without Liquor
6626,Starbucks Coffee #7733,100,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor
6627,Starbucks Coffee #7749,4765,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Chain Restaurant without Liquor
6628,Starbucks Coffee #7776,517,Grandview Crossing,Gibsonia,PA,15044,Richland,Chain Restaurant without Liquor
6629,Starbucks Coffee #7776,109,Northtowne Sq  101,Gibsonia,PA,15044,Richland,Chain Restaurant without Liquor
6630,Starbucks Coffee #784,7,Market Sq,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
6631,Starbucks Coffee #787,3618,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
6632,Starbucks Coffee #7875,1597,Washington Pike,Bridgeville,PA,15017,Collier,Chain Restaurant without Liquor
6633,Starbucks Coffee #7887,202,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6634,Starbucks Coffee #7903,1500,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant without Liquor
6635,Starbucks Coffee #793,1400,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Chain Restaurant without Liquor
6636,Starbucks Coffee #794,973,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Restaurant without Liquor
6637,Starbucks Coffee #795,4100,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
6638,Starbucks Coffee / Baggage Claim,&nbsp;,Pgh Int&#39;l Airport / LTB3,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor
6639,Starbucks Coffee Kiosk #19628,1000,Ross Park Mall Drive,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6640,Starbucks at CCAC Allegheny Campus,845,Ridge Avenue,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant without Liquor
6641,Stardust Lounge,950,Brodhead Rd,Coraopolis,PA,15108,Moon,Restaurant with Liquor
6642,Starlite Lounge,364,Freeport Road,Pittsburgh,PA,15238,Blawnox,Restaurant with Liquor
6643,Starr Road Mushroom Market,111,Starr Road,Russellton,PA,15076,West Deer,Retail/Convenience Store
6644,Station,4744,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor
6645,Station Brake Cafe,501,Station St,Wilmerding,PA,15148,Wilmerding,Restaurant with Liquor
6646,Steak &#39;N Shake,2005,Pittsburgh Mills Blvd,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor
6647,Steak &#39;N Shake,650,East Waterfront Dr,Homestead,PA,15120,Munhall,Chain Restaurant without Liquor
6648,Steak &#39;N Shake,410,Clairton Blvd,Pittsburgh,PA,15236,Pleasant Hills,Chain Restaurant without Liquor
6649,Steak &#39;N Shake,1951,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor
6650,Steel Cactus,1831,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Chain Restaurant with Liquor
6651,Steel Cactus,5505,Walnut Street,Pittsburgh,PA,15232,Pittsburgh-107,Chain Restaurant with Liquor
6652,Steel Cactus ,115,Federal  Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor
6653,Steel Center Bakery ,565,Lewis Run Rd,Clairton,PA,15025,Jefferson,School Full Service Kitchen
6654,Steel Center School kitchen &amp; store,565,Lewis Run Rd,Clairton,PA,15025,Jefferson,School Full Service Kitchen
6655,Steel City Creamery,317,Pittsburgh Mills Circle,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor
6656,Steel City Salt Co,3801,Butler Street,Pittsburgh,PA,15201,Pittsburgh-106,Food Processor
6657,Steel City Shaved Ice,508,Arlington Drive,Pittsburgh,PA,15239,Plum,Mobile
6658,Steel City Steakhouse,2101,Mosside Boulevard,Monroeville,PA,15146,Monroeville,Restaurant with Liquor
6659,Steel City Tobacco,819,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Retail/Convenience Store
6660,Steel Cup Coffee Roasters ,6387,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Food Processor
6661,Steel Towne Inn,1251,Wilkins  Avenue,Pittsburgh,PA,15221,Braddock Hills,Restaurant with Liquor
6662,Steel Valley Day Treatment Center,201,18th      Avenue,Homestead,PA,15120,Homestead,Adult Food Service
6663,Steel Valley Middle / Senior High Cafeteria,3113,Main St,Homestead,PA,15120,Munhall,School Full Service Kitchen
6664,Steeler Training Facility,3400,South Water St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant without Liquor
6665,Steeltoe Station at Rosedale Tech,215,Beecham  Drive,Pittsburgh,PA,15205,Kennedy,Adult Food Service
6666,Steeltown Tabacco,431,Perry  Highway,Pittsburgh,PA,15229,West View,Packaged Food Only
6667,Stein Mart #316,8050,McKnight Rd,Pittsburgh,PA,15237,McCandless,Chain Packaged Food Only
6668,Stello&#39;s Pizzeria,10,Creighton / Russellton Road,Russellton,PA,15076,West Deer,Restaurant without Liquor
6669,Stephanies,4400,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
6670,Stephen Bayard Masonic Lodge #526,207,Plum St / 3rd Fl,Elizabeth,PA,15037,Elizabeth Borough,Adult Food Service
6671,Stephen Foster Community Center Satellite,286,Main St,Pittsburgh,PA,15201,Pittsburgh-109,Adult Food Service
6672,Stepping Stones Children&#39;s Center,3811,Bakerstown Rd,Gibsonia,PA,15044,Richland,Child Food Service
6673,Stepping Stones Children&#39;s Center,5518,Molnar Dr,Gibsonia,PA,15044,Richland,Child Food Service
6674,Stepping Stones Children&#39;s Center @ Wexford Elem.,250,Brown Rd,Wexford,PA,15090,Pine,Child Food Service
6675,Stepping Stones Childrens Center,712,Warrendale Rd,Gibsonia,PA,15044,Pine,Child Food Service
6676,Stepps West End Tavern,240,7th Avenue,Tarentum,PA,15084,Tarentum,Restaurant with Liquor
6677,Stetor&#39;s Red Hot Dollar,706,Monongahela Ave,Glassport,PA,15045,Glassport,Retail/Convenience Store
6678,Stevens Child Care,878,1st Ave,Coraopolis,PA,15108,Coraopolis,Child Food Service
6679,Stewart&#39;s Too,9755,Saltsburg Rd,Pittsburgh,PA,15239,Plum,Restaurant with Liquor
6680,Stickler&#39;s Ice Pops ,1149,Evergreen  Avenue,Pittsburgh,PA,15209,Millvale,Food Processor
6681,Stickler&#39;s Ice Pops Mobile #1,1149,Evergreen  Avenue,Pittsburgh,PA,15209,Millvale,Mobile
6682,Stickler&#39;s Ice Pops Mobile #2,1149,Evergreen  Avenue,Pittsburgh,PA,15209,Millvale,Mobile
6683,Stickler&#39;s Ice Pops Truck,1149,Evergreen  Avenue,Pittsburgh,PA,15209,Millvale,Mobile
6684,Stinky&#39;s Bar &amp; Grill,4901,Hatfield  Street,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant with Liquor
6685,Sto Rox Elementary School,300,Ewing Rd,Mc Kees Rocks,PA,15136,Kennedy,School Full Service Kitchen
6686,Sto Rox Middle School,298,Ewing Rd,Mc Kees Rocks,PA,15136,McKees Rocks,School Satellite Kitchen
6687,Sto Rox Sr High School,1105,Valley  Street,Mc Kees Rocks,PA,15136,Stowe,School Full Service Kitchen
6688,Stockmano Bros Pizzeria,7678,Saltsburg Rd,Pittsburgh,PA,15239,Plum,Restaurant without Liquor
6689,Stockyard Reserve Mobile,100,Hafner,Pittsburgh,PA,15223,Etna,Mobile
6690,Stoecklein&#39;s Bake Shop,6545,Saltsburg Rd,Pittsburgh,PA,15235,Penn Hills,Bakery
6691,Stoke&#39;s Grill,4771,McKnight Rd,Pittsburgh,PA,15237,Ross,Restaurant with Liquor
6692,Stone Neapolitan Pizzeria,300,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor
6693,Stop &amp; Shop,10991,Frankstown  Road,Pittsburgh,PA,15235,Penn Hills,Packaged Food Only
6694,Stop - N - Go,21,Yost  Boulevard,Pittsburgh,PA,15221,Forest Hills,Chain Retail/Convenience Store
6695,Stop N Shop,2110,Ardmore Boulevard,Pittsburgh,PA,15221,Forest Hills,Retail/Convenience Store
6696,Stop n Shop,1043,Hamil Road,Verona,PA,15147,Penn Hills,Retail/Convenience Store
6697,Storms Restaurant,429,4th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor
6698,Stover &amp; Co,1101,Russellton  Road,Cheswick,PA,15024,Harmar,Warehouse
6699,Straight Up Mixer - Farmers Co-Op Market Of E Liberty,344,Sheridan  Avenue,Pittsburgh,PA,15206,Pittsburgh-111,Retail/Convenience Store
6700,Stratwood Catering,1977,Lincoln Way,Mc Keesport,PA,15131,White Oak,Caterer
6701,Street Corner News,1000,Ross Park Mall Dr #VC-14,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only
6702,Street Corner News,100,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only
6703,Street Foods / Innovative Mobile Catering,135,Magnolia Street,Homestead,PA,15120,Whitaker,Mobile
6704,Street Foods Commissary ,135,Magnolia Street,Homestead,PA,15120,Whitaker,Commissary
6705,Streets on Carson,1120,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor
6706,Strike Zone Pub @ Miracle Lanes Bowling Center,4045,Wm Penn  Highway,Monroeville,PA,15146,Monroeville,Restaurant with Liquor
6707,Strip Market Pittsburgh,&nbsp;,Pgh Int&#39;l Airport / AC-19C,Pittsburgh,PA,15231,Findlay,Restaurant without Liquor
6708,Stroll Inn,12,Fairhaven Rd,Mc Kees Rocks,PA,15136,Kennedy,Restaurant with Liquor
6709,Student Union Main Kitchen 2nd Floor,1000,Locust Street,Pittsburgh,PA,15282,Pittsburgh-101,Hospital Gov University (limited)
6710,Studio AM,225,8th  Avenue,Homestead,PA,15120,Homestead,Restaurant without Liquor
6711,Sturgeon Athletic Assoc,7561,Noblestown Road,Sturgeon,PA,15082,North Fayette,Social Club-Bar Only
6712,Sub Alpine Club,108,9th Street,Turtle Creek,PA,15145,Turtle Creek,Restaurant with Liquor
6713,Sub Stop-Marathon,2929,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Brentwood,Chain Retail/Convenience Store
6714,Subba&#39;s Asian Restaurant ,700,Cedar Avenue,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant without Liquor
6715,Subha Laxmi Grocery,2950,Brownsville Road,Pittsburgh,PA,15227,Brentwood,Supermarket
6716,Subway,410,Lysle Boulevard,Mc Keesport,PA,15132,McKeesport,Chain Restaurant without Liquor
6717,Subway,417,7th Avenue,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant without Liquor
6718,Subway,100,Walmart Dr,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor
6719,Subway,5438,Centre Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Chain Restaurant without Liquor
6720,Subway,133,8th Avenue,Homestead,PA,15120,Homestead,Chain Restaurant without Liquor
6721,Subway,1609,Braddock  Avenue,Pittsburgh,PA,15218,Edgewood,Chain Restaurant without Liquor
6722,Subway,435,Pittsburgh Mills Circle,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor
6723,Subway,4613,Centre Ave,Pittsburgh,PA,15213,Pittsburgh-105,Chain Restaurant without Liquor
6724,Subway,500,Grandview  Crossing,Gibsonia,PA,15044,Richland,Chain Restaurant without Liquor
6725,Subway,5301,Grove Rd / Caste Village,Pittsburgh,PA,15236,Whitehall,Chain Restaurant without Liquor
6726,Subway ,425,5th Ave,Coraopolis,PA,15108,Coraopolis,Restaurant without Liquor
6727,Subway #10251,1708,Mt Royal Blvd,Glenshaw,PA,15116,Shaler,Chain Restaurant without Liquor
6728,Subway #10396,4028,Beechwood Blvd,Pittsburgh,PA,15217,Pittsburgh-115,Chain Restaurant without Liquor
6729,Subway #21001,526,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6730,Subway #21414,2771,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Chain Restaurant without Liquor
6731,Subway #22098,1750,Greensburg Pike,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor
6732,Subway #24678,454,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant without Liquor
6733,Subway #25081,2020,Ardmore  Boulevard,Pittsburgh,PA,15221,Forest Hills,Chain Restaurant without Liquor
6734,Subway #25122,1926,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor
6735,Subway #25123,5990,University Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
6736,Subway #25126,100,Robinson Center Drive / SP FC3 - Robinson Mall,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor
6737,Subway #25629,1305,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Chain Restaurant without Liquor
6738,Subway #27602,1701,Lincoln Highway,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor
6739,Subway #28038,200,Monroeville Mall,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
6740,Subway #28390,4778,Liberty Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Chain Restaurant without Liquor
6741,Subway #28784,6270,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
6742,Subway #2936,11978,Perry Hwy,Wexford,PA,15090,Pine,Chain Restaurant without Liquor
6743,Subway #29532,124,Grant Avenue,Pittsburgh,PA,15209,Millvale,Chain Restaurant without Liquor
6744,Subway #30056,1343,W Liberty Ave,Pittsburgh,PA,15226,Pittsburgh-119,Chain Restaurant without Liquor
6745,Subway #31330,4400,Old Wm Penn Highway,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
6746,Subway #31579,400,Ohio Street,Pittsburgh,PA,15212,Pittsburgh-123,Chain Restaurant without Liquor
6747,Subway #31930,1160,B Washington Avenue,Carnegie,PA,15106,Scott,Chain Restaurant without Liquor
6748,Subway #32741,3147,Banksville Road,Pittsburgh,PA,15237,Pittsburgh-120,Chain Restaurant without Liquor
6749,Subway #32742,7700,Penn  Avenue,Pittsburgh,PA,15221,Pittsburgh-114,Chain Restaurant without Liquor
6750,Subway #32870,1325,Hoffman Blvd,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor
6751,Subway #33633,2619,Wexford Bayne  Road,Sewickley,PA,15143,Franklin Park,Chain Restaurant without Liquor
6752,Subway #34651,4526,Broadway Blvd,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
6753,Subway #35112,4145,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
6754,Subway #35690,101,Station Sq Dr,Pittsburgh,PA,15219,Pittsburgh-119,Chain Restaurant without Liquor
6755,Subway #36717,300,Walmart Drive,Gibsonia,PA,15044,Richland,Chain Restaurant without Liquor
6756,Subway #37037,930,Penn Ave,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6757,Subway #3898,6210,Grand  Avenue,Pittsburgh,PA,15225,Neville,Chain Restaurant without Liquor
6758,Subway #39339,995,Greensburg Pike,Pittsburgh,PA,15221,Wilkins,Chain Restaurant without Liquor
6759,Subway #39841,&nbsp;,Pgh Intl Airport / NE-2,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor
6760,Subway #40231 (Wal-Mart),5055,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
6761,Subway #41022,219,Shiloh Street,Pittsburgh,PA,15211,Pittsburgh-119,Chain Restaurant without Liquor
6762,Subway #42119,100,Highlands Mall,Natrona Heights,PA,15065,Harrison,Chain Restaurant without Liquor
6763,Subway #44309,322,Curry Hollow  Road,Pittsburgh,PA,15236,Pleasant Hills,Chain Restaurant without Liquor
6764,Subway #4640,4706,Rt 8,Allison Park,PA,15101,Hampton,Chain Restaurant without Liquor
6765,Subway #48584,&nbsp;,Pgh Intl Airport  / SE-15,Pittsburgh,PA,15231,Findlay,Chain Restaurant without Liquor
6766,Subway #50151,2880,Industrial Boulevard,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
6767,Subway #54217,1035,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant without Liquor
6768,Subway #58298,537,Beaver Street,Sewickley,PA,15143,Sewickley,Chain Restaurant without Liquor
6769,Subway #58836,4721,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6770,Subway #59528,4313,Walnut Street,Mc Keesport,PA,15132,Versailles,Chain Restaurant without Liquor
6771,Subway #59964,1212,E Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Chain Restaurant without Liquor
6772,Subway #61053,1846,Centre  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Chain Restaurant without Liquor
6773,Subway #61470,84,Allegheny  River Blvd,Verona,PA,15147,Verona,Chain Restaurant without Liquor
6774,Subway #65130,550,Butler  Street,Pittsburgh,PA,15223,Etna,Chain Restaurant without Liquor
6775,Subway #65416,48,Monongahela  Avenue,Glassport,PA,15045,Glassport,Chain Restaurant without Liquor
6776,Subway #7950 @ Wal-Mart,7500,University  Boulevard,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
6777,Subway Salads &amp; Sandwiches,119,22nd  Avenue,Homestead,PA,15120,Munhall,Chain Restaurant without Liquor
6778,Subway Salads &amp; Sandwiches,3336,Babcock Boulevard,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6779,Subway Salads &amp; Sandwiches ,2373,Mountain View Drive,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor
6780,Subway Salads &amp; Sandwiches #25920,517,McNeilly Road,Pittsburgh,PA,15226,Baldwin Twp,Chain Restaurant without Liquor
6781,Subway Salads &amp; Sandwiches #34420,3390,Saxonburg Boulevard,Glenshaw,PA,15116,Indiana,Restaurant without Liquor
6782,Subway Salads &amp; Sandwiches #44133,1500,5th  Avenue,Mc Keesport,PA,15132,McKeesport,Chain Restaurant without Liquor
6783,Subway Salads &amp; Sandwiches #56580,264,Mt Nebo Pointe Drive,Pittsburgh,PA,15237,Ohio,Chain Restaurant without Liquor
6784,Subway Sandwich &amp; Salads,1039,Freeport Rd,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor
6785,Subway Sandwiches,7900,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6786,Subway Sandwiches,6500,Steubenville Pike,Pittsburgh,PA,15205,Robinson,Restaurant without Liquor
6787,Subway Sandwiches,112,Chartiers Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Restaurant without Liquor
6788,Subway Sandwiches #21685,10,Village Dr,Leetsdale,PA,15056,Leetsdale,Chain Restaurant without Liquor
6789,Subway Sandwiches #27505,3446,William Penn  Highway,Pittsburgh,PA,15235,Wilkins,Chain Restaurant without Liquor
6790,Subway Sandwiches #28039,301,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Restaurant without Liquor
6791,Subway Sandwiches #28040,1000,Ross Park Mall  Drive,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
6792,Subway Sandwiches #30671,7343,Saltsburg Rd,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor
6793,Subway Sandwiches &amp; Salads,39,Walsh  Road,Pittsburgh,PA,15205,Crafton,Chain Restaurant without Liquor
6794,Subway Sandwiches &amp; Salads,2351,Noblestown Road,Pittsburgh,PA,15205,Greentree,Chain Restaurant without Liquor
6795,Subway Sandwiches &amp; Salads,703,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
6796,Subway Sandwiches &amp; Salads,1985,Lincoln Way,Mc Keesport,PA,15131,White Oak,Restaurant without Liquor
6797,Subway Sandwiches &amp; Salads,11667,Penn Hills Dr,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor
6798,Subway Sandwiches &amp; Salads,4017,Butler St,Pittsburgh,PA,15201,Pittsburgh-109,Chain Restaurant without Liquor
6799,Subway Sandwiches &amp; Salads,414,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
6800,Subway Sandwiches &amp; Salads,201,Allegheny Avenue,Oakmont,PA,15139,Oakmont,Chain Restaurant without Liquor
6801,Subway Sandwiches &amp; Salads,3,Market Pl,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
6802,Subway Sandwiches &amp; Salads,950,Ridge Avenue,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant without Liquor
6803,Subway Sandwiches &amp; Salads,500,Pine Hollow Rd  Kenmawr Plaza,Mc Kees Rocks,PA,15136,Kennedy,Chain Restaurant without Liquor
6804,Subway Sandwiches &amp; Salads,1136,Thorn Run Rd Ext,Coraopolis,PA,15108,Moon,Restaurant without Liquor
6805,Subway Sandwiches &amp; Salads,401,Wood St,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
6806,Subway Sandwiches &amp; Salads,1732,Pacific Avenue,Natrona Heights,PA,15065,Harrison,Chain Restaurant without Liquor
6807,Subway Sandwiches &amp; Salads,4142,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Brentwood,Chain Restaurant without Liquor
6808,Subway Sandwiches &amp; Salads,2158,Brownsville  Road,Pittsburgh,PA,15210,Pittsburgh-129,Chain Restaurant without Liquor
6809,Subway Sandwiches &amp; Salads,225,Ross Street,Pittsburgh,PA,15219,Pittsburgh-101,Chain Restaurant without Liquor
6810,Subway Sandwiches &amp; Salads,3707,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
6811,Subway Sandwiches &amp; Salads,418,S Craig St,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
6812,Subway Sandwiches &amp; Salads #15051,150,Market Place Drive,Oakdale,PA,15071,North Fayette,Chain Restaurant without Liquor
6813,Subway Sandwiches &amp; Salads #18944,971,Ohio River Boulevard,Pittsburgh,PA,15202,Avalon,Chain Restaurant without Liquor
6814,Subway Sandwiches &amp; Salads #20844,55,Alpha Drive,Pittsburgh,PA,15238,Harmar,Chain Restaurant without Liquor
6815,Subway Sandwiches &amp; Salads #24670,9805,McKnight Rd,Pittsburgh,PA,15237,McCandless,Chain Restaurant without Liquor
6816,Subway Sandwiches &amp; Salads #24919,583,Clairton Blvd,Pittsburgh,PA,15236,Pleasant Hills,Chain Restaurant without Liquor
6817,Subway Sandwiches &amp; Salads #2685,4136,Library  Road,Pittsburgh,PA,15234,Castle Shannon,Chain Restaurant without Liquor
6818,Subway Sandwiches &amp; Salads #26939,930,Presque Isle Dr,Pittsburgh,PA,15239,Plum,Chain Restaurant without Liquor
6819,Subway Sandwiches &amp; Salads #2849,308,Cochran Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant without Liquor
6820,Subway Sandwiches &amp; Salads #29207,1025,Washington Pike,Bridgeville,PA,15017,Collier,Chain Restaurant without Liquor
6821,Subway Sandwiches &amp; Salads #3505,809,West View Park Dr,Pittsburgh,PA,15229,West View,Chain Restaurant without Liquor
6822,Subway Sandwiches &amp; Salads #36480,300,Mt Lebanon Blvd,Pittsburgh,PA,15234,Castle Shannon,Chain Restaurant without Liquor
6823,Subway Sandwiches &amp; Salads #58293,5500,Butler Street,Pittsburgh,PA,15201,Pittsburgh-110,Chain Restaurant without Liquor
6824,Subway Sandwiches &amp; Salads #6338,700,Forbes Ave,Pittsburgh,PA,15219,Pittsburgh-101,Chain Restaurant without Liquor
6825,Subway#36783 ,2200,Washington Pike,Carnegie,PA,15106,Scott,Chain Restaurant without Liquor
6826,Subzi Mandi,3103,Banksville Road,Pittsburgh,PA,15216,Pittsburgh-120,Retail/Convenience Store
6827,Suds &amp; Subs,700,Chartiers Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Restaurant with Liquor
6828,Sue&#39;s Confections,7395,Schley Avenue,Pittsburgh,PA,15218,Swissvale,Food Processor
6829,Sugar &amp; Spice Old Fashioned Ice Cream,5200,Clairton Blvd,Pittsburgh,PA,15236,Baldwin Boro,Restaurant without Liquor
6830,Sugar &amp; Spice On Water,960,Brentview Drive,Pittsburgh,PA,15236,Baldwin Boro,Mobile
6831,Sugar &amp; Spice On Wheels Mobile,5200,Clairton Boulevard,Pittsburgh,PA,15236,Baldwin Twp,Mobile
6832,Sugar Inspires,543,North Avenue,Pittsburgh,PA,15209,Millvale,Bakery
6833,Sukhothai Bistro,5813,Forbes Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor
6834,Sultan Bey,4601,Centre Avenue,Pittsburgh,PA,15213,Pittsburgh-105,Retail/Convenience Store
6835,Sumi&#39;s Cakery,2119,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor
6836,Sun Penang,5829,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor
6837,SunFresh,116,23rd Street,Pittsburgh,PA,15222,Pittsburgh-102,Warehouse
